nose_x,nose_y,neck_x,neck_y,Rshoulder_x,Rshoulder_y,Relbow_x ,Relbow_y,Rwrist_x,RWrist_y ,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y ,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y ,REye_x,REye_y,LEye_x,LEye_y ,REar_x,REar_y,LEar_x,Lear_y,class
0.21,0.46,0.31,0.44,0.31,0.41,0.32,0.67,0.29,0.81,0.29,0.46,0.29,0.67,0.26,0.85,0.44,0.63,0.44,0.85,0,0,0.5,0.59,0.49,0.87,0.56,0.74,0,0,0.21,0.44,0,0,0.23,0.39,0
0.21,0.46,0.29,0.44,0.31,0.41,0.32,0.65,0.29,0.81,0.29,0.46,0.29,0.67,0.26,0.87,0.44,0.61,0.44,0.85,0,0,0.5,0.59,0.49,0.87,0.57,0.74,0,0,0.2,0.44,0,0,0.23,0.39,0
0.21,0.48,0.29,0.44,0.29,0.41,0.32,0.65,0.29,0.81,0.28,0.46,0.29,0.67,0.26,0.87,0.44,0.61,0.44,0.85,0,0,0.5,0.57,0.49,0.87,0.59,0.74,0,0,0.2,0.44,0,0,0.22,0.39,0
0.2,0.48,0.29,0.44,0.29,0.41,0.32,0.65,0.29,0.81,0.28,0.46,0.29,0.67,0.26,0.87,0.44,0.61,0.43,0.85,0,0,0.5,0.57,0.49,0.87,0.59,0.74,0,0,0.2,0.44,0,0,0.22,0.41,0
0.2,0.48,0.28,0.44,0.29,0.41,0.32,0.65,0.29,0.81,0.28,0.46,0.28,0.67,0.27,0.87,0.44,0.61,0.43,0.85,0,0,0.5,0.57,0.49,0.87,0.6,0.74,0,0,0.2,0.46,0,0,0.22,0.41,0
0.2,0.48,0.28,0.44,0.29,0.41,0.32,0.65,0.29,0.81,0.27,0.46,0.28,0.7,0.27,0.87,0.44,0.61,0.43,0.85,0,0,0.5,0.57,0.49,0.87,0.61,0.74,0,0,0.2,0.46,0,0,0.22,0.41,0
0.2,0.48,0.28,0.44,0.28,0.41,0.32,0.65,0.29,0.81,0.27,0.46,0.28,0.7,0.27,0.87,0.45,0.61,0.43,0.85,0,0,0.5,0.57,0.49,0.87,0.61,0.74,0,0,0.2,0.46,0,0,0.21,0.41,0
0.2,0.48,0.28,0.44,0.29,0.41,0.32,0.65,0.29,0.81,0.27,0.46,0.28,0.7,0.27,0.87,0.45,0.61,0.43,0.85,0,0,0.5,0.57,0.49,0.87,0.62,0.74,0,0,0.2,0.46,0,0,0.21,0.41,0
0.2,0.48,0.28,0.44,0.29,0.41,0,0,0,0,0.26,0.48,0.28,0.7,0.27,0.87,0.45,0.61,0.43,0.85,0,0,0.5,0.57,0.49,0.87,0.62,0.74,0,0,0.2,0.46,0,0,0.21,0.41,0
0.2,0.5,0.28,0.44,0.29,0.44,0,0,0,0,0.26,0.46,0.28,0.7,0.27,0.87,0.45,0.59,0.44,0.85,0,0,0.5,0.57,0.49,0.87,0.62,0.76,0,0,0.18,0.46,0,0,0.21,0.41,0
